ProductName,Regular Price,Discount Price,URL,AddToCartURL
SAMSUNG Galaxy A22 128GB 6GB RAM,18.490 ден,,https://clevershop.mk/product/samsung-galaxy-a22-128gb-6gb-ram/,
Samsung Galaxy Z Flip3 5G 128GB 8GB RAM,49.990 ден,43.990 ден,https://clevershop.mk/product/samsung-galaxy-z-flip3-5g-8-128gb/,
Xiaomi Poco M4 Pro 5G 64GB 4GB RAM,13.990 ден,12.990 ден,https://clevershop.mk/product/xiaomi-poco-m4-pro-64gb-6gb-ram/,
Huawei P50 Pro 256GB 8GB RAM,71.990 ден,,https://clevershop.mk/product/huawei-p50-pro-256gb-8gb-ram/,
Samsung Galaxy S21+ 5G 128GB 8GB RAM,49.490 ден,,https://clevershop.mk/product/samsung-galaxy-s21-5g-128gb-8gb-ram/,
Xiaomi Redmi Note 11 Pro 128GB 6GB RAM,20.990 ден,,https://clevershop.mk/product/xiaomi-redmi-note-11-pro/,
Philips 55PUS7956/12 4K ANDROID TV,37.999 ден,35.999 ден,https://clevershop.mk/product/philips-55pus7956-12-4k-android-tv/,
Vivax LED TV-40LE120T2S2,10.999 ден,,https://clevershop.mk/product/vivax-led-tv-40le120t2s2/,
SAMSUNG UE65AU7092UXXH CRYSTAL 4K SMART LED TV,40.990 ден,,https://clevershop.mk/product/samsung-ue-65au7092uxxh-crystal-4k-smart-led-tv/,
"4k UHD OLED SMART TV SONY XR77A80JCEP, 77″(195.5cm), Android TV, Wifi",229.990 ден,209.990 ден,https://clevershop.mk/product/4k-uhd-oled-smart-tv-sony-xr77a80jcep-77195-5cm-android-tv-wifi/,
Oukitel WP20 Pro,9.890 ден,,https://clevershop.mk/product/oukitel-wp20-pro/,
Oukitel WP20,8.490 ден,,https://clevershop.mk/product/oukitel-wp20/,
Oukitel C32,9.490 ден,,https://clevershop.mk/product/oukitel-c32/,
Oukitel C19 Pro,6.290 ден,,https://clevershop.mk/product/oukitel-c19-pro/,
VIVAX  ACP-09CH25AEMIs R32,21.990 ден,,https://clevershop.mk/product/vivax-acp-09ch25aemis-r32-2/,
GREALKA KERAMICKA Vivax WMH-2001B,3.290 ден,,https://clevershop.mk/product/grealka-keramicka-vivax-wmh-2001b/,
Android TV Box – S96 Q plus 4gb/64 gb,3.990 ден,,https://clevershop.mk/product/android-tv-box-s96-q-plus-4gb-64-gb/,
Android TV Box – S96 Q plus 4gb/32 gb,3.490 ден,,https://clevershop.mk/product/android-tv-box-s96-q-plus-4gb-32-gb/,
Android TV Box MXQ 2GB/16GB,2.290 ден,,https://clevershop.mk/product/android-tv-box-mxq-2gb-16gb/,
Android TV Box – Tx3 Mini 2gb/16 gb,2.990 ден,,https://clevershop.mk/product/android-tv-box-tx3-mini-2gb-16-gb/,
КАЛОРИФЕР MAX KF 903,1.390 ден,,https://clevershop.mk/product/%d0%ba%d0%b0%d0%bb%d0%be%d1%80%d0%b8%d1%84%d0%b5%d1%80-max-kf-903/,
SCP 2263BKSENCOR Решо,2.490 ден,,https://clevershop.mk/product/sencor-%d1%80%d0%b5%d1%88%d0%be-scp-2263bk/,
TR-1800   Favorit Голем тостер,2.500 ден,,https://clevershop.mk/product/favorit-%d0%b3%d0%be%d0%bb%d0%b5%d0%bc-%d1%82%d0%be%d1%81%d1%82%d0%b5%d1%80-tr-1800/,
МИКСЕР СО ПОСТОЉЕ MAX HMB 3566,2.190 ден,,https://clevershop.mk/product/%d0%bc%d0%b8%d0%ba%d1%81%d0%b5%d1%80-%d1%81%d0%be-%d0%bf%d0%be%d1%81%d1%82%d0%be%d1%99%d0%b5-max-hmb-3566/,
БЛЕНДЕР СТОЕЧКИ MAX JB 7021,1.980 ден,,https://clevershop.mk/product/%d0%b1%d0%bb%d0%b5%d0%bd%d0%b4%d0%b5%d1%80-%d1%81%d1%82%d0%be%d0%b5%d1%87%d0%ba%d0%b8-max-jb-7021/,
MWO-2078 VIVAX HOME микробранова печка,4.590 ден,,https://clevershop.mk/product/vivax-home-mwo-2078-%d0%bc%d0%b8%d0%ba%d1%80%d0%be%d0%b1%d1%80%d0%b0%d0%bd%d0%be%d0%b2%d0%b0-%d0%bf%d0%b5%d1%87%d0%ba%d0%b0/,
SET MASA + STOLICI ROUND RATAN CAPUCCINO 22505/23560,15.860 ден,,https://clevershop.mk/product/set-masa-stolici-round-ratan-capuccino-22505-23560/,
СЕТ КИЛИМАНЏАРО БЕЛА 9056728,12.750 ден,,https://clevershop.mk/product/%d1%81%d0%b5%d1%82-%d0%ba%d0%b8%d0%bb%d0%b8%d0%bc%d0%b0%d0%bd%d1%9f%d0%b0%d1%80%d0%be-%d0%b1%d0%b5%d0%bb%d0%b0-9056728/,
Intex PURESPA JET AND BUBBLE DELUXE,89.990 ден,,https://clevershop.mk/product/intex-purespa-jet-and-bubble-deluxe/,
ТЕНДА 3Х3 М ЗЕЛЕНА ПВЦ 09037274,2.790 ден,,https://clevershop.mk/product/%d1%82%d0%b5%d0%bd%d0%b4%d0%b0-3%d1%853-%d0%bc-%d0%b7%d0%b5%d0%bb%d0%b5%d0%bd%d0%b0-%d0%bf%d0%b2%d1%86-09037274/,
ЛЕЖАЛКА АРИЗОНА БЕЛА 9021305,2.360 ден,,https://clevershop.mk/product/%d0%bb%d0%b5%d0%b6%d0%b0%d0%bb%d0%ba%d0%b0-%d0%b0%d1%80%d0%b8%d0%b7%d0%be%d0%bd%d0%b0-%d0%b1%d0%b5%d0%bb%d0%b0-9021305/,
СЕТ ВЕРАНДА АНТРАЦИТ БЕЗ ПЕРНИЦИ 9026209,7.990 ден,,https://clevershop.mk/product/%d1%81%d0%b5%d1%82-%d0%b2%d0%b5%d1%80%d0%b0%d0%bd%d0%b4%d0%b0-%d0%b0%d0%bd%d1%82%d1%80%d0%b0%d1%86%d0%b8%d1%82-%d0%b1%d0%b5%d0%b7-%d0%bf%d0%b5%d1%80%d0%bd%d0%b8%d1%86%d0%b8-9026209/,
